Stadtbezirk;Sozialraum;Haushalte insgesamt;Haushalte mit 1 Person;Haushalte mit 2 Personen;Haushalte mit 3 u. m. Personen;Haushalte mit Kindern;Alleinerziehenden Haushalte
01;0101;5018;3445;975;598;509;148
01;0102;1625;1220;267;138;118;42
01;0103;1654;1109;351;194;185;39
01;0104;1637;915;449;273;221;38
01;0105;5035;3526;1018;491;396;85
01;0106;3215;1975;779;461;391;62
01;0107;8855;6066;1834;955;852;211
01;0108;7902;5149;1751;1002;869;163
01;0109;2947;1635;784;528;467;79
01;0110;1862;1021;478;363;282;55
01;0111;836;498;217;121;98;27
01;0112;606;384;119;103;78;24
01;0113;11544;7353;2583;1608;1413;327
01;0114;734;355;204;175;141;20
02;0115;1172;435;370;367;300;17
02;0116;180;135;27;18;13;4
02;0201;1046;491;261;294;276;63
02;0202;2330;1204;526;600;487;138
02;0203;418;275;71;72;62;22
02;0204;1101;476;335;290;238;66
02;0205;5618;3522;1220;876;798;247
02;0206;4805;2982;1123;700;636;141
02;0207;9019;5101;2274;1644;1413;242
02;0208;5401;3359;1254;788;729;185
02;0209;239;147;59;33;21;4
02;0210;563;192;174;197;166;10
02;0211;601;342;157;102;105;42
02;0212;5350;3586;1115;649;590;175
02;0213;562;297;139;126;109;43
03;0301;2374;1168;635;571;463;74
03;0302;1298;623;405;270;195;35
03;0303;2626;1363;767;496;386;80
03;0304;75;41;20;14;6;-
03;0305;2512;1743;484;285;232;54
03;0306;10382;6899;2159;1324;1206;260
03;0307;5379;3808;1014;557;482;124
03;0308;3751;2672;683;396;350;86
03;0309;5625;3458;1568;599;494;84
03;0310;1089;626;269;194;175;49
03;0311;12702;8025;2875;1802;1534;337
03;0312;915;483;230;202;149;45
03;0313;4260;2888;857;515;433;101
03;0314;2299;1343;561;395;345;68
03;0315;2056;1250;465;341;281;67
03;0316;490;208;160;122;83;16
03;0317;5183;3323;1072;788;711;194
03;0318;2627;1623;520;484;435;121
03;0319;1522;1010;284;228;209;70
03;0320;886;422;240;224;167;30
03;0321;5666;3763;1127;776;686;185
03;0322;1545;816;438;291;237;49
04;0401;272;134;68;70;62;16
04;0402;447;230;123;94;79;11
04;0403;1003;495;302;206;166;29
04;0404;539;171;157;211;180;23
04;0405;1560;850;419;291;236;43
04;0406;4531;2530;1163;838;725;135
04;0407;669;341;181;147;126;34
04;0408;1019;442;310;267;263;50
04;0409;414;175;94;145;141;21
04;0410;1276;720;311;245;212;55
04;0411;913;420;266;227;188;27
04;0412;1283;702;371;210;171;40
04;0413;1164;678;256;230;208;30
04;0414;2146;1164;550;432;355;56
04;0415;438;232;117;89;79;22
04;0416;2984;1723;770;491;431;88
04;0417;601;223;148;230;200;34
04;0418;590;299;138;153;125;16
04;0419;1314;607;348;359;311;33
04;0420;623;299;140;184;175;19
05;0501;536;326;137;73;59;11
05;0502;1233;599;350;284;226;37
05;0503;592;231;165;196;134;16
05;0504;425;162;153;110;91;21
05;0505;1957;836;545;576;444;86
05;0506;574;303;161;110;99;23
05;0507;3696;1758;1037;901;769;146
05;0508;2959;1046;978;935;712;75
05;0509;2216;914;632;670;529;75
05;0510;1263;335;265;663;613;95
05;0511;941;349;297;295;222;33
06;0601;648;311;178;159;128;17
06;0602;543;251;161;131;103;18
06;0603;217;123;47;47;45;15
06;0604;1114;608;313;193;167;38
06;0605;4161;2036;1073;1052;948;267
06;0606;2834;1470;758;606;548;148
06;0607;436;178;130;128;115;43
06;0608;1277;721;281;275;238;69
06;0609;663;293;200;170;131;23
06;0610;1570;705;469;396;340;79
06;0611;2647;1117;710;820;722;86
06;0612;643;275;198;170;117;20
06;0613;2061;1048;554;459;352;66
06;0614;1100;472;345;283;199;41
06;0615;1037;396;332;309;231;41
06;0616;831;359;243;229;199;44
06;0617;609;322;176;111;74;20
06;0618;1033;277;336;420;280;34
06;0619;3273;1760;879;634;535;149
06;0620;826;315;268;243;164;29
06;0621;355;135;118;102;78;11
06;0622;2173;1247;589;337;247;54
06;0623;1900;1020;482;398;365;112
06;0624;420;99;123;198;178;47
06;0625;738;206;234;298;258;72
07;0701;964;317;344;303;280;58
07;0702;228;75;83;70;44;5
07;0703;189;47;58;84;62;3
07;0704;968;354;281;333;266;49
07;0705;403;190;121;92;72;16
07;0706;525;176;176;173;113;15
07;0707;3726;1875;1044;807;660;148
07;0708;2500;1286;660;554;448;136
07;0709;704;257;224;223;156;19
07;0710;780;260;253;267;177;20
07;0711;726;431;186;109;92;20
07;0712;3213;1729;892;592;500;99
07;0713;383;196;116;71;53;4
07;0714;1088;429;324;335;252;56
07;0715;1316;621;430;265;231;69
07;0716;3304;1743;936;625;533;162
07;0717;1212;475;367;370;283;68
07;0718;x;x;x;x;x;x
